ID;Aktiv;Firmenname;Jobtitel / Stellenbezeichnung_DE;Jobtitel / Stellenbezeichnung_IT;Ort;Ort_IT;Kontakt_Email;Kontakt_Tel;Stellenbeschreibung_DE;Stellenbeschreibung_IT;extra_DE;extra_IT;logo;Gehalt_DE;Gehalt_IT;Kollektivvertrag_DE;Kollektivvertrag_IT;Einstufung_DE;Einstufung_IT;apply_link
15;YES;Auto Sarntal OHG;Mechaniker (m/w/d);Meccanico m/f/d;Handwerkerzone 15 | 39058 Sarntal (BZ);Zona Artigianale 15 | 39058 Sarentino (BZ);sarah@autosarntal.com; 337 7413386;Arbeitszeiten 07:30–12:00 / 13:00–16:30;Orario di lavoro: 07:30–12:00 / 13:00–16:30;Geselle;Operaio qualificato;autosarntal.jpg;die konkrete Einstufung und Entlohnung je nach Qualifikation, Erfahrung und Aufgabenbereich im persönlichen Gespräch festgelegt werden.;l’inquadramento e la retribuzione concreti saranno definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;geltender Kollektivvertrag;contratto collettivo in vigore;je nach Qualifikation und Erfahrung;in base a qualifica ed esperienza;
16;YES;Karosserie Leitner;Lehrlinge (m/w/d);Apprendista m/f/d;Fabrikstraße 1 | 39031 Bruneck (BZ);Via Fabbrica 1 | 39031 Brunico (BZ);info@leitner-r.eu; 0474 552286;Karosserie + Lackierer;Carrozzeria + verniciatura;Grundlehrgang;Corso base;leitner.jpg;Lehrlingsentschädigung ab € 800,00 brutto/Monat, je nach Lehrjahr, Qualifikation und anwendbarem Kollektivvertrag. Details werden im persönlichen Gespräch besprochen.;l’inquadramento e la retribuzione concreti saranno definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;Metall Handwerk;Contratto collettivo artigianato metalmeccanico;Lehrling ;apprendista;
17;YES;Auto Freitag;Mitarbeiter/in für die Annahme (m/w/d);Addetto/a al ricevimento m/f/d;Passeirer Straße 80 | 39015 St. Leonhard in Passeier (BZ);Via Passiria 80 | 39015 San Leonardo in Passiria (BZ);ulli@autofreitag.it;393 1977204 (Ulli);"Kenntnisse im Autosektor
Erfahrung als Mechaniker oder im Kfz-Bereich von Vorteil
Gesucht wird eine Person mit Kenntnissen im Autosektor für die Annahme sowie Ersatzteilbestellung";"Conoscenze nel settore automobilistico
Esperienza come meccanico o nel settore auto costituisce titolo preferenziale
Si cerca una persona con conoscenze nel settore automobilistico per l’accettazione e l’ordinazione dei ricambi";Annahme;Accettazione;autofreitag.jpg;die konkrete Einstufung und Entlohnung je nach Qualifikation, Erfahrung und Aufgabenbereich im persönlichen Gespräch festgelegt werden.;l’inquadramento e la retribuzione concreti saranno definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;geltender Kollektivvertrag;contratto collettivo in vigore;je nach Qualifikation und Erfahrung;in base a qualifica ed esperienza;
18;YES;Alpin Racing Garage MC GmbH;2 Mechaniker (m/w/d);2 Meccanici m/f/d;Moritzingerweg 88 | 39100 Bozen (BZ);Via San Maurizio 88 | 39100 Bolzano (BZ); info@alpinracing.it;;"Wir suchen aktuell zwei Personen mit abgeschlossener Lehre im Kfz-Bereich.
Sie sollten selbstständig arbeiten können und motiviert sein, sich weiterzuentwickeln.
Bei uns werden Fahrzeuge vom Oldtimer bis zum Rennwagen repariert – deshalb ist vielseitiges technisches Interesse wichtig.";"Al momento cerchiamo due figure con apprendistato completato nel settore meccanico.
Le persone selezionate devono essere in grado di lavorare in autonomia ed essere motivate a migliorarsi.
Da noi si lavora su veicoli molto diversi, dalle auto d’epoca alle auto da corsa: per questo è importante avere interesse tecnico e versatilità.";Fachkraft (Gesellenbrief) bzw. abgeschlossene Lehre;Operatore qualificato (diploma di qualifica professionale) o apprendistato completato;alpinracing.jpg;die konkrete Einstufung und Entlohnung je nach Qualifikation, Erfahrung und Aufgabenbereich im persönlichen Gespräch festgelegt werden.;l’inquadramento e la retribuzione concreti saranno definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;geltender Kollektivvertrag;contratto collettivo in vigore;je nach Qualifikation und Erfahrung;in base a qualifica ed esperienza;
19;YES;K&M Karosserieservice OHG;Karosserietechniker (m/w/d);Tecnico di carrozzeria  m/f/d;Handwerkerzone 32 | 39054 Ritten (BZ);Zona Artigianale 32 | 39054 Renon (BZ);km@karosserie.bz;;"Aufgaben:
•	Demontage und Montage von Fahrzeugteilen
•	Unterstützung bei Reparatur- und Instandhaltungsarbeiten an Karosserien
•	Allgemeine Werkstatttätigkeiten

Anforderungen:
•	Erfahrung im Bereich Karosseriearbeit
•	Handwerkliches Geschick
•	Motivation und Interesse an der Arbeit mit Fahrzeugen
•	Zuverlässige und selbstständige Arbeitsweise";"Mansioni:
•Smontaggio e montaggio di componenti automobilistici
•Assistenza nei lavori di riparazione e manutenzione delle carrozzerie
•Attività generali di officina

Requisiti:
•    Esperienza nel settore della carrozzeria
•    Abilità manuali
•    Motivazione e interesse per il lavoro con i veicoli
•    Affidabilità e autonomia nel lavoro";Geselle;Operaio qualificato;k&m.jpg;die konkrete Einstufung und Entlohnung je nach Qualifikation, Erfahrung und Aufgabenbereich im persönlichen Gespräch festgelegt werden.;l’inquadramento e la retribuzione concreti saranno definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;geltender Kollektivvertrag;contratto collettivo in vigore;je nach Qualifikation und Erfahrung;in base a qualifica ed esperienza;
20;YES;Auto Graf GmbH;Karosseriespengler (m/w/d);Carrozziere m/f/d;Pizachstraße 27 | 39038 Innichen (BZ);Via Pizach 27 | 39038 San Candido (BZ);info@auto-graf.it;349 2954869;Lehrling oder Fachkraft mit abgeschlossener Ausbildung;Apprendista o diploma di formazione professionale, con inizio immediato;Lehre / Fachkraft;Apprendistato / Operaio qualificato;autograf.jpg;die konkrete Entlohnung je nach Qualifikation, Erfahrung und Aufgabenbereich im persönlichen Gespräch festgelegt werden.;la retribuzione sará definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;Metallhandwerk;Contratto collettivo artigianato metalmeccanico;Kategorie 5;5° livello;
21;YES;Auto Graf GmbH;KFZ-Techniker (m/w/d);Meccanico m/f/d;Pizachstraße 27 | 39038 Innichen (BZ);Via Pizach 27 | 39038 San Candido (BZ);info@auto-graf.it;349 2954869;Lehrling oder Fachkraft mit abgeschlossener Ausbildung;Apprendista o diploma di formazione professionale, con inizio immediato;Lehre / Fachkraft;Apprendistato / Operaio qualificato;autograf.jpg;die konkrete Entlohnung je nach Qualifikation, Erfahrung und Aufgabenbereich im persönlichen Gespräch festgelegt werden.;la retribuzione sará definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;Metallhandwerk;Contratto collettivo artigianato metalmeccanico;Kategorie 5;5° livello;
22;YES;Autocenter Polin;Mechaniker (m/w/d);Meccanico m/f/d;Hauptstraße 20 | 39024 Mals (BZ);Via Nazionale 20 | 39024 Malles (BZ);steffi.blaas@autocenterpolin.com;;"Wir suchen eine ausgebildete Fachkraft im Kfz-Bereich mit:
❤️ Leidenschaft
🛡️ Verantwortungsbewusstsein
💪 Führungsstärke

👨‍🔧 Das erwartet dich bei uns:
•	⚖️ 4½-Tage-Woche für mehr Freizeit 
•	📈 Sichere Aufstiegschancen 
•	📚 Regelmäßige Weiterbildungen 
•	💰 Leistungsgerechte Bezahlung 
	
🚀 Klingt gut?
Dann werde Teil unseres Teams!";"Cerchiamo una figura qualificata nel settore meccanico con:
❤️ Passione
🛡️ Senso di responsabilità
💪 Capacità di leadership

👨‍🔧 Ecco cosa ti offriamo:
•⚖️ Settimana lavorativa di 4 giorni e mezzo per avere più tempo libero 
•📈 Sicure opportunità di carriera 
•📚 Formazione continua e regolare 
•💰 Retribuzione commisurata alle prestazioni 

🚀 Ti sembra interessante?
Allora entra a far parte del nostro team!";gelernten Mechaniker ;Meccanico esperto;autocenterpolin.jpg;€ 28.000–34.000 brutto/Jahr, je nach Qualifikation und Erfahrung;€ 28.000–34.000 lordi/anno, in base a qualifica ed esperienza;Metallhandwerk;Contratto collettivo artigianato metalmeccanico;je nach Qualifikation und Erfahrung;in base a qualifica ed esperienza;
23;YES;Karosseriebau Toni;Karosserielehrling (m/w/d);Apprendista carrozziere m/f/d;Industriezone 1/B | 39021 Latsch (BZ);Zona industriale 1/B | 39021 Laces (BZ);karosseriebau.toni@rolmail.net;348 7250030;Wir suchen eine motivierte Person für eine Lehrstelle in unserer Karosseriewerkstatt mit Deutsch- und Italienischkenntnissen.;Cerchiamo una persona motivata per un apprendistato nella nostra carrozzeria, con conoscenza del tedesco e dell’italiano.;Karosserielehrling;Apprendista carrozziere;karosseriebautoni.jpg;die konkrete Einstufung und Entlohnung je nach Qualifikation, Erfahrung und Aufgabenbereich im persönlichen Gespräch festgelegt werden.;l’inquadramento e la retribuzione concreti saranno definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;geltender Kollektivvertrag;contratto collettivo in vigore;je nach Qualifikation und Erfahrung;in base a qualifica ed esperienza;
24;YES;Karosseriebau Toni;Lackiererlehrling (m/w/d);Apprendista verniciatore m/f/d;Industriezone 1/B | 39021 Latsch (BZ);Zona industriale 1/B | 39021 Laces (BZ);karosseriebau.toni@rolmail.net;349 7250030;Wir suchen eine motivierte Person für eine Lehrstelle als Lackierer mit Deutsch- und Italienischkenntnissen.;Cerchiamo una persona motivata per un apprendistato come verniciatore, con conoscenza del tedesco e dell’italiano.;Lackiererlehrling;Apprendista verniciatore;karosseriebautoni.jpg;die konkrete Einstufung und Entlohnung je nach Qualifikation, Erfahrung und Aufgabenbereich im persönlichen Gespräch festgelegt werden.;l’inquadramento e la retribuzione concreti saranno definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;geltender Kollektivvertrag;contratto collettivo in vigore;je nach Qualifikation und Erfahrung;in base a qualifica ed esperienza;
25;YES;Karosseriebau Toni;Hilfsarbeiter (m/w/d);Operaio m/f/d;Industriezone 1/B | 39021 Latsch (BZ);Zona industriale 1/B | 39021 Laces (BZ);karosseriebau.toni@rolmail.net;350 7250030;Wir suchen eine motivierte Person als Hilfsarbeiter mit Deutsch- und Italienischkenntnissen.;Cerchiamo una persona motivata per mansioni di supporto in officina, con conoscenza del tedesco e dell’italiano.;Hilfsarbeiter;Operario;karosseriebautoni.jpg;die konkrete Einstufung und Entlohnung je nach Qualifikation, Erfahrung und Aufgabenbereich im persönlichen Gespräch festgelegt werden.;l’inquadramento e la retribuzione concreti saranno definiti durante il colloquio in base alla qualifica, all’esperienza e alle mansioni.;geltender Kollektivvertrag;contratto collettivo in vigore;je nach Qualifikation und Erfahrung;in base a qualifica ed esperienza;
